ID	Name
76	Aydın
255	Aktaş
340	Ateş
431	Akın
572	Akbaş
618	Aydoğan
772	Ağayeva
773	Aydoğdu
832	Akkuş
843	Ağayev
852	Akpınar
865	Açıkgöz
956	Altıntaş
974	Akdağ
1042	Áč
1056	Áčová
1149	Árendáš
1158	Árendášová
1196	Ágoštonová
1203	Ágošton
1276	Áčai
1324	Árpás-Erdődi
1356	Ábelovič
1434	Ábelovičová
1441	Áčko
1442	Ážoth
1505	Áčková
1607	Áčaiová
1616	Ábel-Szűcs
1631	Ábrahám-Hörömpő
1706	Áder-Győrvári
1759	Ággáŕwal
1801	Ágoštónová
1821	Ágŕáwál
1885	Álmašová
1974	Ámőŗ
2280	Åžerban
2611	Åžtefan
3048	Â¿Â¿Â¿Â¿Â¿
3081	Âcûặriô
3143	Âläẳ
3231	Âwšömë
3242	Â¿Â¿Â¿Â¿
3243	Â¿Â¿Â¿Â¿Â¿Â¿
3251	Âýñ×Û
3899	Älàrčöń
4247	Àmańệ
4376	Æžééœ
4621	Ãåãâãƒâãƒâãâãƒâãâe
4624	Ãœghamande
4625	Ãœsa
4626	Ãœzende
4627	Ãƒãlâœrãããâãâÿhâãâ
5073	Baş
5199	Bektaş
5384	Başaran
5784	Coşkun
6201	Cvetković
6411	Czerwiński
6415	Cieślak
6635	Çalişkan
6643	Çağlar
6646	Çağlayan
6649	Çavuş
6656	Çaliş
6658	Çavuşoğlu
6659	Çobanoğlu
6667	Çakiroğlu
6669	Çalişir
6672	Çetintaş
6673	Çolakoğlu
6679	Çiğdem
6696	Çağli
6697	Çiloğlu
6700	Çağan
6704	Çağatay
6706	Çiftçioğlu
6717	Çeliktaş
6720	Çelikbaş
6726	Çağdaş
6729	Çatalbaş
6741	Çağliyan
6745	Çelebioğlu
6748	Çirakoğlu
6749	Çamoğlu
6752	Çelikoğlu
6754	Çetinbaş
6756	Çetindağ
6764	Çağlak
6766	Çalikoğlu
6767	Çavaş
6776	Çağil
6785	Çağin
6788	Çalişan
6791	Çarboğa
6794	Çağiran
6800	Çalikuşu
6802	Çağman
6803	Çağ
6810	Çayiroğlu
6811	Çağir
6821	Çeşmeci
6831	Çeşme
6845	Çakaloğlu
6849	Çöpoğlu
6850	Çağri
6861	Çataloğlu
6866	Çopuroğlu
6870	Çiriş
6881	Çalişgan
6883	Çiğ
6884	Çiğir
6887	Çevikbaş
6901	Çifcibaşi
6904	Çulhaoğlu
6907	Çinaroğlu
6918	Çapanoğlu
6923	Çetinoğlu
6925	Çağlan
6927	Çiçekdağ
6941	Çakirtaş
6946	Çatikkaş
6949	Çorbacioğlu
6954	Çaparoğlu
6960	Çiltaş
6965	Çoğal
6967	Çapoğlu
6970	Çubukçuoğlu
6976	Çiğci
6983	Çakicioğlu
6988	Çeribaş
6990	Çağala
6992	Çavuşlar
7000	Çağla
7001	Çataltaş
7005	Çiftçibaşi
7010	Çalişici
7016	Çilingiroğlu
7017	Çuhadaroğlu
7033	Çalişci
7037	Çimşir
7040	Çağlin
7052	Çavdaroğlu
7057	Çokyaşar
7058	Çoğalan
7061	Çalişkaner
7064	Çalağan
7066	Çoğan
7070	Çağrici
7077	Çiğa
7080	Çarbuğa
7082	Çeğil
7083	Çürükoğlu
7084	Çaloğlu
7087	Çerçioğlu
7088	Çağirici
7090	Çiğil
7091	Çakmakoğlu
